customer_id,created_date,canceled_date,subscription_cost,subscription_interval,was_subscription_paid,acquisition_channel,signup_source,onboarding_completed,first_30d_watch_hours,sessions_first_30d,profiles_created,downloads_used,kids_profile_created,recommendation_click_rate,geography,primary_device,plan_tier,user_segment,referral_source,referral_sent,referred_signup_count,is_active_as_of_2025_03_01
NFX000051,2024-05-08,2024-11-22,15.49,monthly,1,Direct,Web,1,25.1,11,2,0,0,0.36,Germany,Roku,Standard,Binge Watcher,None,1,0,0
NFX000052,2024-01-26,2024-08-23,6.99,monthly,1,Partner Bundle,Partner Landing Page,1,13.4,6,2,0,0,0.37,US,Android Phone,Mobile,Value Seeker,None,0,0,0
NFX000053,2023-04-10,2023-08-01,22.99,monthly,1,Paid Social,iOS App,1,21.9,10,2,0,0,0.39,Canada,Android Phone,Premium,Value Seeker,None,0,0,0
NFX000054,2024-01-07,2024-02-14,9.99,monthly,1,Organic Search,Android App,0,27.4,15,1,0,1,0.19,UK,Web Browser,Basic,Family,None,0,0,0
NFX000055,2024-08-01,,15.49,monthly,1,Organic Search,Android App,1,23.5,9,5,0,0,0.57,India,Smart TV,Standard,Binge Watcher,None,1,0,1
NFX000056,2023-01-17,,15.49,monthly,1,Organic Search,Web,1,34.7,19,3,0,0,0.41,Brazil,Android Tablet,Standard,Binge Watcher,None,0,0,1
NFX000057,2023-03-04,2024-06-07,15.49,monthly,1,Direct,Smart TV,1,14.4,7,3,0,0,0.35,Canada,iPhone,Standard,Casual Viewer,None,0,0,0
NFX000058,2023-04-28,2023-05-08,9.99,monthly,0,Partner Bundle,Android App,1,13.9,8,2,0,1,0.48,Brazil,Smart TV,Basic,Family,None,0,0,0
NFX000059,2023-03-29,2023-05-18,15.49,monthly,1,Organic Search,Web,1,7.2,3,3,0,0,0.55,Brazil,Roku,Standard,Value Seeker,None,0,0,0
NFX000060,2024-11-03,2024-11-12,6.99,monthly,1,App Store,Smart TV,1,14.1,6,1,0,0,0.32,Canada,Smart TV,Mobile,Family,None,0,0,0
NFX000061,2023-10-07,2023-12-10,22.99,monthly,1,Referral,Web,1,30.5,21,3,0,0,0.31,US,iPhone,Premium,Young Adult,Friend Invite,0,0,0
NFX000062,2023-02-23,2023-05-22,15.49,monthly,1,Organic Search,Android App,1,21.0,11,2,0,0,0.46,US,iPhone,Standard,Value Seeker,None,0,0,0
NFX000063,2024-09-05,,15.49,monthly,1,Organic Search,Web,1,25.1,17,3,0,0,0.36,Mexico,Roku,Standard,Family,None,0,0,1
NFX000064,2023-03-21,2024-01-17,15.49,monthly,1,Email Re-engagement,iOS App,1,24.1,12,3,1,0,0.22,India,Smart TV,Standard,Family,None,0,0,0
NFX000065,2024-02-10,2024-02-21,6.99,monthly,1,Email Re-engagement,Android App,1,1.5,1,3,1,0,0.42,US,Roku,Mobile,Value Seeker,None,0,0,0
NFX000066,2024-10-05,,22.99,monthly,1,App Store,Android App,0,18.2,9,3,0,0,0.34,Brazil,iPad,Premium,Value Seeker,None,0,0,1
NFX000067,2023-11-14,,154.99,annual,1,Paid Search,Web,1,7.9,4,2,1,0,0.36,Canada,Android Phone,Standard,Family,None,0,0,1
NFX000068,2024-04-06,,15.49,monthly,1,Organic Search,Smart TV,1,20.3,11,3,1,1,0.5,US,Smart TV,Standard,Family,None,0,0,1
NFX000069,2024-10-24,,9.99,monthly,1,Paid Social,Web,1,14.5,6,2,0,0,0.39,India,Android Phone,Basic,Casual Viewer,None,0,0,1
NFX000070,2024-10-20,2024-12-11,15.49,monthly,1,Partner Bundle,Android App,1,13.2,8,2,1,0,0.47,India,Apple TV,Standard,Young Adult,None,0,0,0
NFX000071,2023-03-21,,15.49,monthly,1,Paid Social,Android App,1,15.9,8,3,0,0,0.41,UK,Smart TV,Standard,Value Seeker,None,0,0,1
NFX000072,2024-09-17,,9.99,monthly,1,Paid Social,Android App,0,13.2,5,1,0,0,0.33,UK,Smart TV,Basic,Young Adult,None,0,0,1
NFX000073,2023-05-22,2024-02-03,22.99,monthly,1,Email Re-engagement,Web,1,23.8,13,3,0,0,0.58,UK,Android Phone,Premium,Young Adult,None,0,0,0
NFX000074,2024-02-10,2024-02-12,69.99,annual,1,App Store,Web,0,14.6,11,1,0,0,0.49,Mexico,Android Phone,Mobile,Binge Watcher,None,0,0,0
NFX000075,2023-03-23,,15.49,monthly,1,Organic Search,Web,1,30.6,15,4,1,0,0.3,US,Web Browser,Standard,Binge Watcher,None,0,0,1
NFX000076,2023-10-26,2023-12-02,15.49,monthly,0,Paid Search,iOS App,1,9.0,5,4,0,0,0.41,US,Android Phone,Standard,Casual Viewer,None,0,0,0
NFX000077,2023-01-17,,6.99,monthly,1,Paid Search,Web,1,18.0,8,3,0,0,0.36,US,Smart TV,Mobile,Binge Watcher,None,0,0,1
NFX000078,2023-02-07,2023-07-15,22.99,monthly,1,Paid Social,Web,1,10.9,5,3,0,0,0.51,US,iPhone,Premium,Casual Viewer,None,0,0,0
NFX000079,2024-02-14,2024-08-15,15.49,monthly,1,Referral,Smart TV,0,8.2,4,2,0,0,0.29,Canada,Web Browser,Standard,Casual Viewer,Friend Invite,0,0,0
NFX000080,2024-03-12,,22.99,monthly,1,Organic Search,iOS App,1,22.5,18,2,0,0,0.33,UK,Smart TV,Premium,Young Adult,None,1,0,1
NFX000081,2024-03-24,2024-06-12,15.49,monthly,1,Organic Search,Web,0,5.5,3,3,0,0,0.27,Brazil,Android Phone,Standard,Value Seeker,None,0,0,0
NFX000082,2024-02-01,2024-05-11,9.99,monthly,0,Direct,Web,1,7.0,5,2,0,0,0.56,Brazil,Smart TV,Basic,Value Seeker,None,0,0,0
NFX000083,2024-12-27,,154.99,annual,1,Organic Search,iOS App,1,15.9,12,3,0,1,0.33,Germany,Apple TV,Standard,Value Seeker,None,0,0,1
NFX000084,2023-03-30,2024-09-01,15.49,monthly,1,Organic Search,Web,1,10.4,8,2,1,0,0.45,India,iPad,Standard,Value Seeker,None,0,0,0
NFX000085,2023-05-13,2024-05-03,9.99,monthly,1,Paid Search,Smart TV,1,27.2,12,1,0,0,0.37,US,iPhone,Basic,Young Adult,None,0,0,0
NFX000086,2023-06-22,2023-06-27,22.99,monthly,1,TV Ad,iOS App,0,9.4,7,4,1,0,0.26,US,Smart TV,Premium,Casual Viewer,None,0,0,0
NFX000087,2024-10-04,,15.49,monthly,1,App Store,Android App,1,12.2,7,3,1,0,0.29,US,Android Phone,Standard,Young Adult,None,0,0,1
NFX000088,2024-06-11,,9.99,monthly,1,App Store,Web,1,31.2,20,2,0,0,0.38,UK,Android Phone,Basic,Young Adult,None,0,0,1
NFX000089,2024-06-11,2024-11-20,15.49,monthly,1,Paid Search,Smart TV,1,20.0,9,4,0,1,0.47,UK,iPhone,Standard,Family,None,0,0,0
NFX000090,2024-02-17,,15.49,monthly,1,Paid Search,Web,1,16.0,6,2,0,0,0.37,India,Android Phone,Standard,Young Adult,None,0,0,1
NFX000091,2025-02-12,,6.99,monthly,1,Organic Search,iOS App,1,24.0,10,1,1,0,0.28,Canada,iPhone,Mobile,Binge Watcher,None,0,0,1
NFX000092,2024-05-16,,154.99,annual,1,Referral,Web,1,4.9,2,3,0,0,0.44,Brazil,Android Phone,Standard,Value Seeker,Friend Invite,0,0,1
NFX000093,2024-08-20,,15.49,monthly,1,App Store,iOS App,1,21.7,12,3,0,1,0.28,India,Roku,Standard,Family,None,0,0,1
NFX000094,2024-12-23,,15.49,monthly,1,Organic Search,Web,1,21.9,10,2,0,0,0.28,US,Smart TV,Standard,Family,None,0,0,1
NFX000095,2023-08-19,2023-08-27,15.49,monthly,1,Direct,Partner Landing Page,0,15.3,8,2,0,0,0.24,Brazil,Smart TV,Standard,Young Adult,None,0,0,0
NFX000096,2025-01-01,2025-02-07,9.99,monthly,1,Organic Search,Smart TV,1,16.9,13,2,1,0,0.35,India,Roku,Basic,Young Adult,None,0,0,0
NFX000097,2023-12-05,,154.99,annual,1,Referral,Web,0,12.2,5,3,0,0,0.35,Brazil,iPhone,Standard,Young Adult,Family Share Prompt,0,0,1
NFX000098,2023-02-08,2023-05-05,229.99,annual,0,Direct,Web,0,17.8,7,4,1,0,0.22,Germany,iPhone,Premium,Young Adult,None,0,0,0
NFX000099,2024-10-18,,15.49,monthly,1,App Store,iOS App,1,19.8,9,3,0,0,0.42,Mexico,Apple TV,Standard,Family,None,0,0,1
NFX000100,2024-06-11,,154.99,annual,1,Paid Social,Web,1,18.3,12,2,0,1,0.54,US,Web Browser,Standard,Family,None,0,0,1
NFX000101,2024-04-21,,15.49,monthly,1,Paid Social,Web,1,22.2,16,3,0,0,0.31,UK,Web Browser,Standard,Family,None,0,0,1
NFX000102,2023-08-12,2024-12-20,15.49,monthly,1,Referral,Android App,1,19.7,9,3,0,0,0.38,India,Roku,Standard,Young Adult,Friend Invite,0,0,0
NFX000103,2025-01-04,,15.49,monthly,1,App Store,Web,1,21.0,12,1,0,0,0.39,UK,Roku,Standard,Young Adult,None,0,0,1
NFX000104,2023-03-12,2024-05-20,6.99,monthly,1,Direct,iOS App,0,21.6,12,2,1,0,0.26,US,iPhone,Mobile,Binge Watcher,None,0,0,0
NFX000105,2023-05-02,2024-12-14,9.99,monthly,1,Organic Search,iOS App,1,11.2,5,1,0,1,0.38,UK,Smart TV,Basic,Family,None,0,0,0
NFX000106,2024-03-05,,6.99,monthly,1,TV Ad,Smart TV,0,26.5,17,2,0,0,0.34,Germany,Android Phone,Mobile,Young Adult,None,0,0,1
NFX000107,2023-08-28,,15.49,monthly,1,Partner Bundle,Android App,1,18.9,15,3,0,0,0.54,US,Smart TV,Standard,Young Adult,None,0,0,1
NFX000108,2024-10-20,2025-01-08,9.99,monthly,1,Referral,Android App,1,21.1,13,1,0,0,0.25,US,Android Phone,Basic,Binge Watcher,Friend Invite,0,0,0
NFX000109,2023-09-06,2024-04-29,15.49,monthly,1,Paid Social,Web,1,28.7,22,2,0,0,0.39,US,iPad,Standard,Binge Watcher,None,0,0,0
NFX000110,2023-01-16,2025-02-19,15.49,monthly,1,Organic Search,Web,1,8.9,6,2,0,0,0.49,Brazil,Roku,Standard,Value Seeker,None,0,0,0
NFX000111,2024-04-22,,22.99,monthly,1,Organic Search,Partner Landing Page,1,23.1,10,3,0,0,0.47,UK,Apple TV,Premium,Young Adult,None,0,0,1
NFX000112,2024-11-01,,15.49,monthly,1,Direct,Web,1,20.6,15,2,0,0,0.4,Brazil,Android Tablet,Standard,Young Adult,None,0,0,1
NFX000113,2023-03-18,2024-01-28,22.99,monthly,1,Direct,Android App,1,8.7,4,3,0,0,0.41,Brazil,Android Phone,Premium,Value Seeker,None,0,0,0
NFX000114,2023-10-09,2024-06-18,154.99,annual,1,App Store,Web,1,21.6,11,2,0,1,0.51,UK,Smart TV,Standard,Family,None,0,0,0
NFX000115,2024-12-14,,22.99,monthly,1,Paid Social,Android App,1,24.3,17,3,0,0,0.45,Germany,Smart TV,Premium,Family,None,0,0,1
NFX000116,2023-02-13,,99.99,annual,1,Paid Social,Smart TV,1,2.9,1,2,1,0,0.6,India,Smart TV,Basic,Value Seeker,None,0,0,1
NFX000117,2023-03-20,2024-02-06,15.49,monthly,1,Paid Social,iOS App,1,14.9,7,2,0,0,0.42,India,Apple TV,Standard,Young Adult,None,0,0,0
NFX000118,2023-12-01,,99.99,annual,1,Organic Search,Web,1,16.3,12,1,0,0,0.3,Mexico,Android Tablet,Basic,Young Adult,None,0,0,1
NFX000119,2025-01-27,,15.49,monthly,1,Paid Search,Web,1,15.3,11,2,1,0,0.28,US,Web Browser,Standard,Family,None,0,0,1
NFX000120,2023-03-28,2023-11-24,15.49,monthly,0,Referral,iOS App,1,14.0,10,3,1,0,0.49,Mexico,Android Phone,Standard,Family,Friend Invite,0,0,0
NFX000121,2024-05-22,,22.99,monthly,1,TV Ad,Web,1,10.5,5,4,0,0,0.32,US,Android Phone,Premium,Value Seeker,None,0,0,1
NFX000122,2023-11-23,,9.99,monthly,1,Paid Social,Android App,1,38.1,20,1,0,0,0.35,UK,Smart TV,Basic,Binge Watcher,None,0,0,1
NFX000123,2024-03-24,2024-12-25,15.49,monthly,1,Partner Bundle,Android App,1,25.6,15,3,0,0,0.31,US,Apple TV,Standard,Family,None,0,0,0
NFX000124,2023-02-07,2023-07-17,15.49,monthly,0,Partner Bundle,Web,1,24.2,12,5,0,0,0.5,Germany,Smart TV,Standard,Binge Watcher,None,0,0,0
NFX000125,2023-01-11,2023-06-12,15.49,monthly,1,Organic Search,Web,1,14.9,6,2,0,0,0.46,Brazil,Smart TV,Standard,Young Adult,None,0,0,0
NFX000126,2023-12-18,2024-01-25,15.49,monthly,1,Paid Search,Web,0,16.4,12,3,0,0,0.19,UK,iPad,Standard,Young Adult,None,0,0,0
NFX000127,2023-06-13,2025-01-06,15.49,monthly,1,Paid Social,iOS App,1,18.6,11,2,1,0,0.39,UK,Roku,Standard,Value Seeker,None,0,0,0
NFX000128,2024-07-03,,22.99,monthly,1,Organic Search,Web,1,25.0,13,2,0,0,0.58,UK,Android Phone,Premium,Value Seeker,None,0,0,1
NFX000129,2023-03-28,,15.49,monthly,1,Referral,Web,1,11.9,6,3,0,0,0.45,US,iPhone,Standard,Young Adult,Friend Invite,0,0,1
NFX000130,2024-09-26,,154.99,annual,1,Organic Search,Web,1,21.2,12,3,1,1,0.32,US,iPhone,Standard,Young Adult,None,0,0,1
NFX000131,2024-07-04,2024-10-13,15.49,monthly,1,Paid Social,Android App,1,19.8,9,2,0,0,0.44,India,Roku,Standard,Value Seeker,None,0,0,0
NFX000132,2023-02-03,2023-03-11,22.99,monthly,1,Paid Search,Web,1,29.0,18,2,1,1,0.28,Brazil,iPad,Premium,Family,None,0,0,0
NFX000133,2023-12-26,2024-01-20,9.99,monthly,1,App Store,iOS App,0,8.9,4,1,0,1,0.29,US,Web Browser,Basic,Casual Viewer,None,0,0,0
NFX000134,2023-11-26,2024-02-21,15.49,monthly,0,Partner Bundle,Android App,1,24.5,10,3,1,0,0.49,India,Android Tablet,Standard,Young Adult,None,0,0,0
NFX000135,2023-01-03,,15.49,monthly,1,Email Re-engagement,Smart TV,1,41.0,22,2,0,0,0.37,US,Web Browser,Standard,Binge Watcher,None,0,0,1
NFX000136,2025-02-19,,6.99,monthly,1,Organic Search,Web,0,11.2,8,1,0,0,0.26,Brazil,iPad,Mobile,Young Adult,None,0,0,1
NFX000137,2023-09-14,,15.49,monthly,1,Organic Search,Android App,1,29.8,23,3,0,0,0.41,India,iPhone,Standard,Binge Watcher,None,0,0,1
NFX000138,2024-12-11,,6.99,monthly,1,Organic Search,Web,1,6.7,3,3,1,0,0.65,Canada,Roku,Mobile,Casual Viewer,None,1,1,1
NFX000139,2024-10-05,,9.99,monthly,1,Referral,Smart TV,1,12.7,6,2,0,0,0.42,India,iPad,Basic,Family,Friend Invite,0,0,1
NFX000140,2023-01-28,2024-07-15,15.49,monthly,0,Partner Bundle,Android App,0,26.1,11,2,0,0,0.31,US,Android Tablet,Standard,Young Adult,None,0,0,0
NFX000141,2023-11-21,2024-11-09,15.49,monthly,1,Organic Search,Smart TV,1,12.2,10,3,1,0,0.28,India,Android Phone,Standard,Casual Viewer,None,0,0,0
NFX000142,2023-03-26,2023-05-10,69.99,annual,0,TV Ad,iOS App,1,6.4,3,2,0,0,0.28,US,iPhone,Mobile,Casual Viewer,None,0,0,0
NFX000143,2023-09-08,,9.99,monthly,1,Organic Search,iOS App,1,23.9,10,1,0,0,0.41,UK,Smart TV,Basic,Binge Watcher,None,1,1,1
NFX000144,2025-02-28,,99.99,annual,1,Email Re-engagement,Web,1,7.7,6,2,1,0,0.37,Canada,Android Tablet,Basic,Value Seeker,None,0,0,1
NFX000145,2025-01-28,,15.49,monthly,1,App Store,Web,1,28.9,17,2,0,1,0.41,Germany,Android Phone,Standard,Family,Family Share Prompt,1,0,1
NFX000146,2023-07-03,,22.99,monthly,1,Paid Social,iOS App,1,29.8,17,2,0,0,0.48,US,Android Phone,Premium,Binge Watcher,None,0,0,1
NFX000147,2023-07-20,,22.99,monthly,1,Referral,iOS App,1,19.9,9,3,0,0,0.4,Brazil,iPhone,Premium,Value Seeker,Friend Invite,0,0,1
NFX000148,2023-05-26,2023-07-16,15.49,monthly,0,Referral,Web,1,20.2,15,3,1,0,0.56,Mexico,Web Browser,Standard,Young Adult,Influencer Code,0,0,0
NFX000149,2023-09-25,2024-10-08,9.99,monthly,1,Partner Bundle,Smart TV,0,20.0,11,2,0,1,0.2,Canada,Apple TV,Basic,Family,None,0,0,0
NFX000150,2023-04-03,2024-06-04,6.99,monthly,1,Organic Search,Android App,1,20.2,12,1,1,0,0.41,Brazil,Smart TV,Mobile,Young Adult,None,1,0,0
NFX000151,2023-09-13,2025-02-08,6.99,monthly,1,Organic Search,Web,1,9.3,7,1,0,0,0.73,Brazil,iPhone,Mobile,Family,None,0,0,0
NFX000152,2023-04-05,2024-05-03,15.49,monthly,1,Email Re-engagement,Android App,1,23.3,11,3,1,0,0.48,US,iPhone,Standard,Value Seeker,None,0,0,0
NFX000153,2023-09-09,2024-05-24,6.99,monthly,1,TV Ad,iOS App,1,12.7,7,4,1,0,0.39,Germany,iPad,Mobile,Young Adult,None,0,0,0
NFX000154,2023-11-26,2023-12-20,22.99,monthly,1,Paid Search,Web,1,18.6,7,3,0,1,0.41,US,Android Phone,Premium,Family,None,0,0,0
NFX000155,2023-08-13,,22.99,monthly,1,App Store,Partner Landing Page,1,19.0,9,3,0,0,0.57,Canada,Web Browser,Premium,Family,None,0,0,1
NFX000156,2024-07-09,,9.99,monthly,1,Paid Social,iOS App,1,30.1,14,3,0,1,0.33,US,Android Phone,Basic,Family,None,0,0,1
NFX000157,2024-06-22,2024-10-03,15.49,monthly,1,Email Re-engagement,Partner Landing Page,1,27.2,11,2,0,0,0.57,Canada,Web Browser,Standard,Young Adult,None,0,0,0
NFX000158,2024-08-26,2024-09-16,9.99,monthly,1,Partner Bundle,Web,0,8.9,4,1,0,0,0.28,Brazil,Android Phone,Basic,Value Seeker,None,0,0,0
NFX000159,2024-05-23,,9.99,monthly,1,Organic Search,Android App,1,23.6,15,1,0,1,0.42,US,Web Browser,Basic,Family,None,1,0,1
NFX000160,2024-02-28,2024-08-14,15.49,monthly,1,App Store,Web,1,16.6,13,3,1,0,0.35,UK,iPhone,Standard,Value Seeker,None,0,0,0
NFX000161,2025-01-19,,22.99,monthly,1,Organic Search,Partner Landing Page,1,9.6,8,2,0,0,0.31,Mexico,Android Phone,Premium,Value Seeker,None,0,0,1
NFX000162,2023-11-01,2024-03-11,9.99,monthly,1,Paid Social,Web,1,17.6,9,2,1,0,0.44,India,Apple TV,Basic,Young Adult,None,0,0,0
NFX000163,2024-02-12,2024-08-20,15.49,monthly,1,Paid Search,Smart TV,1,13.6,6,3,0,0,0.41,US,Smart TV,Standard,Young Adult,None,0,0,0
NFX000164,2025-02-13,,15.49,monthly,1,App Store,iOS App,0,25.3,14,4,0,0,0.41,Germany,Roku,Standard,Binge Watcher,None,0,0,1
